H1-O1 	H1-O2 	H1-O3 	H1-O4 	H2-O1 	H2-O2 	H2-O3 	H2-O4 	H3-O1 	H3-O2 	H3-O3 	H3-O4 	H4-O1 	H4-O2 	H4-O3 	H4-O4 	H5-O1 	H5-O2 	H5-O3 	H5-O4 	H6-O1 	H6-O2 	H6-O3 	H6-O4 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I1-H5 	I1-H6 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I2-H5 	I2-H6 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I3-H5 	I3-H6 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I4-H5 	I4-H6 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I5-H5 	I5-H6 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I6-H5 	I6-H6 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	I7-H5 	I7-H6 	
-5451	 7570	 7604	 3894	 3702	-5928	 2212	-5069	 4668	-6524	-3047	 8357	-4533	 3808	-9751	-6034	-7899	 -767	 2793	  719	 6936	 9452	 7416	 6171	 2852	 1946	-3597	-6931	 2265	-5972	-7634	  515	 -372	-2743	 2640	-3194	 5388	-5316	 1784	 2446	-1780	-1947	-2120	   91	 7994	 4220	  -65	-1244	-1405	 4209	-5757	 1112	-1162	 6303	-2333	 2315	-1524	 4914	-5815	 1184	 1585	 -225	-2297	-2591	 -938	 1358	
-6057	 8179	 8693	 4551	 4266	-6894	 2264	-5638	 5014	-7115	-3347	 8829	-4843	 4095	-10656	-6540	-8785	 -913	 3032	  853	 7472	10452	 7851	 6392	 3114	 2044	-3972	-7297	 2351	-6226	-8203	  634	 -566	-3137	 2818	-3206	 5743	-5700	 1961	 2845	-1973	-2038	-2352	  153	 8374	 4280	 -113	-1355	-1403	 4549	-6202	 1166	-1261	 6664	-2439	 2601	-1734	 5303	-6253	 1277	 1748	 -522	-2107	-2806	 -805	 1311	
-6435	 8519	 9335	 4922	 4577	-7457	 2294	-5973	 5303	-7389	-3515	 9095	-5011	 4223	-11182	-6809	-9286	-1014	 3176	  940	 7695	11088	 8070	 6494	 3249	 2067	-4186	-7478	 2385	-6356	-8499	  679	 -719	-3336	 2923	-3214	 5916	-5901	 2081	 3060	-2058	-2099	-2469	  202	 8596	 4304	 -141	-1422	-1412	 4755	-6472	 1202	-1317	 6861	-2475	 2761	-1900	 5546	-6483	 1342	 1832	 -691	-1935	-2956	 -720	 1294	
-6701	 8754	 9780	 5179	 4786	-7837	 2323	-6208	 5540	-7569	-3632	 9278	-5139	 4314	-11551	-6995	-9633	-1090	 3280	 1002	 7830	11544	 8219	 6563	 3337	 2070	-4330	-7595	 2403	-6444	-8700	  698	 -832	-3466	 2998	-3225	 6034	-6034	 2173	 3209	-2106	-2143	-2543	  235	 8758	 4324	 -163	-1471	-1428	 4899	-6661	 1230	-1357	 6994	-2495	 2871	-2029	 5722	-6636	 1391	 1886	 -800	-1807	-3077	 -661	 1292	
-6903	 8932	10116	 5377	 4941	-8118	 2352	-6387	 5735	-7705	-3722	 9417	-5244	 4387	-11835	-7138	-9897	-1149	 3360	 1048	 7927	11894	 8334	 6616	 3402	 2067	-4437	-7680	 2414	-6511	-8851	  706	 -920	-3562	 3056	-3237	 6126	-6131	 2250	 3321	-2139	-2179	-2597	  258	 8884	 4340	 -180	-1509	-1444	 5008	-6804	 1252	-1389	 7092	-2508	 2954	-2133	 5858	-6749	 1430	 1925	 -877	-1711	-3176	 -617	 1297	
-7065	 9076	10383	 5537	 5065	-8338	 2380	-6531	 5898	-7815	-3795	 9529	-5332	 4449	-12066	-7255	-10109	-1196	 3426	 1085	 8001	12177	 8428	 6661	 3453	 2063	-4520	-7747	 2421	-6565	-8972	  710	 -989	-3638	 3103	-3250	 6202	-6206	 2315	 3410	-2163	-2209	-2639	  275	 8987	 4356	 -195	-1539	-1461	 5095	-6918	 1271	-1415	 7169	-2518	 3022	-2221	 5967	-6839	 1462	 1955	 -936	-1637	-3260	 -583	 1304	
-7199	 9197	10604	 5672	 5166	-8519	 2407	-6651	 6037	-7908	-3856	 9622	-5409	 4503	-12259	-7354	-10286	-1235	 3483	 1114	 8063	12412	 8508	 6699	 3494	 2059	-4589	-7802	 2426	-6611	-9074	  711	-1046	-3700	 3142	-3262	 6267	-6268	 2372	 3484	-2182	-2235	-2673	  287	 9073	 4369	 -208	-1565	-1476	 5166	-7013	 1286	-1438	 7233	-2526	 3078	-2295	 6059	-6913	 1488	 1979	 -984	-1576	-3332	 -554	 1313	
-7313	 9300	10792	 5788	 5253	-8671	 2432	-6753	 6158	-7989	-3908	 9702	-5475	 4550	-12426	-7440	-10438	-1268	 3532	 1139	 8115	12614	 8578	 6732	 3529	 2054	-4647	-7848	 2429	-6651	-9161	  711	-1095	-3753	 3176	-3274	 6324	-6319	 2422	 3547	-2197	-2258	-2702	  296	 9148	 4382	 -220	-1587	-1491	 5227	-7093	 1299	-1459	 7286	-2532	 3126	-2361	 6137	-6975	 1511	 1998	-1023	-1527	-3396	 -529	 1323	
-7412	 9390	10955	 5890	 5328	-8802	 2456	-6843	 6264	-8060	-3954	 9772	-5535	 4592	-12573	-7515	-10571	-1296	 3575	 1160	 8160	12790	 8640	 6762	 3559	 2051	-4698	-7889	 2432	-6686	-9237	  711	-1137	-3799	 3205	-3285	 6374	-6363	 2467	 3602	-2211	-2279	-2728	  303	 9214	 4393	 -230	-1606	-1505	 5279	-7162	 1311	-1477	 7333	-2538	 3168	-2419	 6206	-7030	 1532	 2015	-1056	-1484	-3452	 -508	 1333	
-7499	 9470	11099	 5982	 5394	-8918	 2479	-6922	 6359	-8123	-3995	 9834	-5588	 4630	-12705	-7583	-10688	-1321	 3614	 1179	 8200	12946	 8696	 6790	 3585	 2047	-4742	-7924	 2433	-6717	-9304	  709	-1173	-3839	 3231	-3296	 6420	-6402	 2508	 3650	-2222	-2298	-2750	  309	 9272	 4404	 -240	-1623	-1518	 5325	-7223	 1321	-1493	 7374	-2542	 3205	-2471	 6267	-7077	 1550	 2029	-1085	-1448	-3502	 -489	 1343	
-7578	 9543	11227	 6064	 5454	-9021	 2500	-6994	 6445	-8180	-4032	 9890	-5637	 4665	-12823	-7645	-10795	-1342	 3649	 1195	 8236	13086	 8746	 6814	 3609	 2044	-4782	-7956	 2435	-6746	-9365	  707	-1206	-3875	 3255	-3307	 6462	-6436	 2545	 3693	-2232	-2316	-2770	  313	 9325	 4414	 -249	-1639	-1530	 5366	-7277	 1331	-1508	 7411	-2546	 3239	-2518	 6321	-7120	 1566	 2042	-1110	-1416	-3548	 -472	 1353	
-7648	 9608	11343	 6139	 5507	-9113	 2520	-7058	 6523	-8233	-4065	 9941	-5681	 4697	-12931	-7701	-10891	-1361	 3682	 1210	 8269	13214	 8792	 6837	 3630	 2041	-4818	-7985	 2436	-6772	-9420	  706	-1235	-3907	 3276	-3316	 6500	-6466	 2579	 3732	-2241	-2332	-2789	  316	 9373	 4423	 -257	-1653	-1542	 5403	-7326	 1339	-1522	 7444	-2550	 3269	-2561	 6370	-7159	 1582	 2054	-1133	-1387	-3589	 -456	 1362	
