H1-O1 	H1-O2 	H1-O3 	H2-O1 	H2-O2 	H2-O3 	H3-O1 	H3-O2 	H3-O3 	H4-O1 	H4-O2 	H4-O3 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	
12861	 9515	 4210	-4701	-5429	10218	-7726	 8513	-5161	 1971	-10859	-7683	 6991	 2552	 -105	-2944	-5263	 -613	 1180	 -747	 1770	 4125	-2086	  -11	-5476	 3038	 1856	  408	-2641	-5758	 5600	 1624	 1223	-3188	-4745	 6229	 1719	-3587	 2040	  105	
12870	 9522	 4212	-4705	-5432	10226	-7730	 8519	-5164	 1970	-10867	-7689	 6994	 2553	 -105	-2945	-5265	 -614	 1181	 -747	 1770	 4127	-2087	  -10	-5479	 3039	 1856	  408	-2641	-5761	 5602	 1626	 1223	-3189	-4747	 6230	 1720	-3589	 2042	  105	
12880	 9529	 4213	-4709	-5436	10234	-7734	 8525	-5168	 1970	-10874	-7695	 6997	 2554	 -105	-2947	-5266	 -615	 1181	 -747	 1770	 4129	-2087	  -10	-5482	 3040	 1856	  409	-2642	-5763	 5603	 1627	 1224	-3191	-4749	 6232	 1721	-3590	 2043	  104	
12889	 9536	 4215	-4712	-5440	10242	-7738	 8531	-5171	 1970	-10882	-7700	 7000	 2555	 -105	-2948	-5268	 -615	 1182	 -747	 1770	 4130	-2088	  -10	-5485	 3042	 1856	  409	-2643	-5766	 5605	 1628	 1225	-3192	-4751	 6234	 1722	-3592	 2045	  104	
12898	 9543	 4217	-4716	-5443	10250	-7742	 8537	-5174	 1970	-10890	-7706	 7002	 2556	 -105	-2949	-5269	 -616	 1182	 -747	 1770	 4132	-2088	  -10	-5488	 3043	 1856	  410	-2643	-5769	 5607	 1629	 1226	-3193	-4752	 6235	 1723	-3593	 2046	  104	
12907	 9549	 4219	-4719	-5447	10257	-7746	 8543	-5178	 1969	-10898	-7711	 7005	 2557	 -105	-2951	-5271	 -617	 1183	 -747	 1770	 4134	-2089	  -10	-5491	 3045	 1856	  410	-2644	-5771	 5608	 1630	 1227	-3195	-4754	 6237	 1724	-3594	 2047	  104	
12916	 9556	 4221	-4722	-5450	10265	-7750	 8549	-5181	 1969	-10905	-7716	 7008	 2559	 -106	-2952	-5272	 -618	 1183	 -747	 1770	 4136	-2089	  -10	-5493	 3046	 1856	  410	-2645	-5774	 5610	 1631	 1228	-3196	-4756	 6239	 1725	-3596	 2049	  104	
12925	 9562	 4223	-4726	-5453	10273	-7754	 8554	-5184	 1969	-10913	-7722	 7011	 2560	 -106	-2953	-5273	 -618	 1183	 -747	 1770	 4138	-2090	   -9	-5496	 3047	 1856	  411	-2645	-5776	 5611	 1632	 1228	-3198	-4758	 6241	 1726	-3597	 2050	  104	
12934	 9569	 4225	-4729	-5457	10280	-7758	 8560	-5187	 1968	-10920	-7727	 7013	 2561	 -106	-2955	-5275	 -619	 1184	 -747	 1771	 4140	-2090	   -9	-5499	 3049	 1856	  411	-2646	-5779	 5613	 1633	 1229	-3199	-4760	 6242	 1727	-3599	 2051	  104	
12942	 9575	 4226	-4732	-5460	10288	-7762	 8566	-5190	 1968	-10927	-7732	 7016	 2562	 -106	-2956	-5276	 -620	 1184	 -747	 1771	 4142	-2091	   -9	-5501	 3050	 1856	  411	-2647	-5782	 5614	 1634	 1230	-3200	-4762	 6244	 1728	-3600	 2053	  104	
12951	 9582	 4228	-4736	-5463	10295	-7765	 8571	-5194	 1968	-10935	-7737	 7019	 2563	 -106	-2957	-5278	 -620	 1185	 -747	 1771	 4143	-2091	   -9	-5504	 3051	 1856	  412	-2648	-5784	 5616	 1635	 1231	-3202	-4763	 6245	 1729	-3601	 2054	  104	
12960	 9588	 4230	-4739	-5467	10303	-7769	 8577	-5197	 1968	-10942	-7743	 7021	 2564	 -106	-2958	-5279	 -621	 1185	 -747	 1771	 4145	-2092	   -9	-5507	 3053	 1856	  412	-2648	-5787	 5617	 1636	 1232	-3203	-4765	 6247	 1730	-3603	 2055	  104	
12968	 9594	 4232	-4742	-5470	10310	-7773	 8583	-5200	 1967	-10949	-7748	 7024	 2565	 -106	-2960	-5280	 -622	 1186	 -746	 1771	 4147	-2092	   -9	-5509	 3054	 1856	  412	-2649	-5789	 5618	 1637	 1232	-3204	-4767	 6249	 1731	-3604	 2057	  104	
12977	 9600	 4233	-4745	-5473	10317	-7777	 8588	-5203	 1967	-10956	-7753	 7026	 2566	 -106	-2961	-5282	 -622	 1186	 -746	 1771	 4149	-2093	   -9	-5512	 3055	 1856	  413	-2649	-5791	 5620	 1638	 1233	-3205	-4769	 6250	 1732	-3605	 2058	  104	
12985	 9606	 4235	-4748	-5476	10325	-7780	 8593	-5206	 1967	-10963	-7758	 7029	 2567	 -106	-2962	-5283	 -623	 1187	 -746	 1771	 4150	-2093	   -8	-5514	 3056	 1856	  413	-2650	-5794	 5621	 1639	 1234	-3207	-4770	 6252	 1733	-3607	 2059	  104	
12993	 9613	 4237	-4752	-5480	10332	-7784	 8599	-5209	 1967	-10970	-7763	 7031	 2569	 -106	-2963	-5284	 -624	 1187	 -746	 1771	 4152	-2094	   -8	-5517	 3058	 1856	  413	-2651	-5796	 5623	 1640	 1235	-3208	-4772	 6253	 1734	-3608	 2061	  104	
13001	 9619	 4239	-4755	-5483	10339	-7787	 8604	-5212	 1966	-10977	-7768	 7034	 2570	 -106	-2965	-5285	 -624	 1187	 -746	 1771	 4154	-2094	   -8	-5519	 3059	 1856	  414	-2651	-5799	 5624	 1641	 1235	-3209	-4774	 6255	 1735	-3609	 2062	  104	
13009	 9624	 4240	-4758	-5486	10346	-7791	 8609	-5215	 1966	-10984	-7773	 7036	 2571	 -106	-2966	-5287	 -625	 1188	 -746	 1771	 4155	-2094	   -8	-5522	 3060	 1856	  414	-2652	-5801	 5625	 1642	 1236	-3211	-4776	 6256	 1736	-3611	 2063	  104	
13018	 9630	 4242	-4761	-5489	10353	-7795	 8615	-5218	 1966	-10991	-7777	 7039	 2572	 -106	-2967	-5288	 -626	 1188	 -746	 1771	 4157	-2095	   -8	-5524	 3061	 1856	  414	-2653	-5803	 5627	 1643	 1237	-3212	-4777	 6258	 1737	-3612	 2064	  104	
13026	 9636	 4244	-4764	-5492	10360	-7798	 8620	-5221	 1965	-10998	-7782	 7041	 2573	 -106	-2968	-5289	 -626	 1189	 -746	 1771	 4159	-2095	   -8	-5527	 3062	 1856	  415	-2653	-5806	 5628	 1644	 1238	-3213	-4779	 6259	 1738	-3613	 2065	  104	
13033	 9642	 4245	-4767	-5495	10367	-7802	 8625	-5224	 1965	-11004	-7787	 7043	 2574	 -106	-2969	-5290	 -627	 1189	 -746	 1771	 4160	-2096	   -8	-5529	 3064	 1855	  415	-2654	-5808	 5629	 1645	 1238	-3214	-4780	 6261	 1739	-3614	 2067	  103	
13041	 9648	 4247	-4770	-5498	10373	-7805	 8630	-5226	 1965	-11011	-7792	 7046	 2575	 -106	-2970	-5292	 -628	 1189	 -746	 1771	 4162	-2096	   -7	-5532	 3065	 1855	  415	-2654	-5810	 5631	 1646	 1239	-3215	-4782	 6262	 1740	-3616	 2068	  103	
13049	 9654	 4248	-4773	-5501	10380	-7808	 8635	-5229	 1965	-11018	-7796	 7048	 2576	 -106	-2971	-5293	 -628	 1190	 -746	 1771	 4163	-2096	   -7	-5534	 3066	 1855	  415	-2655	-5812	 5632	 1647	 1240	-3217	-4784	 6264	 1741	-3617	 2069	  103	
13057	 9659	 4250	-4776	-5504	10387	-7812	 8640	-5232	 1964	-11024	-7801	 7050	 2577	 -106	-2973	-5294	 -629	 1190	 -746	 1771	 4165	-2097	   -7	-5536	 3067	 1855	  416	-2656	-5815	 5633	 1648	 1240	-3218	-4785	 6265	 1742	-3618	 2070	  103	
13065	 9665	 4252	-4779	-5507	10393	-7815	 8645	-5235	 1964	-11031	-7806	 7053	 2578	 -106	-2974	-5295	 -630	 1191	 -746	 1771	 4167	-2097	   -7	-5539	 3068	 1855	  416	-2656	-5817	 5635	 1649	 1241	-3219	-4787	 6266	 1742	-3619	 2071	  103	
13072	 9670	 4253	-4781	-5510	10400	-7819	 8650	-5238	 1964	-11037	-7810	 7055	 2579	 -106	-2975	-5296	 -630	 1191	 -746	 1771	 4168	-2098	   -7	-5541	 3069	 1855	  416	-2657	-5819	 5636	 1649	 1242	-3220	-4788	 6268	 1743	-3621	 2073	  103	
13080	 9676	 4255	-4784	-5513	10407	-7822	 8655	-5240	 1964	-11043	-7815	 7057	 2580	 -106	-2976	-5298	 -631	 1191	 -746	 1771	 4170	-2098	   -7	-5543	 3070	 1855	  417	-2657	-5821	 5637	 1650	 1242	-3221	-4790	 6269	 1744	-3622	 2074	  103	
13087	 9681	 4256	-4787	-5516	10413	-7825	 8660	-5243	 1963	-11050	-7819	 7059	 2580	 -106	-2977	-5299	 -631	 1192	 -746	 1772	 4171	-2098	   -7	-5546	 3072	 1855	  417	-2658	-5823	 5638	 1651	 1243	-3222	-4792	 6271	 1745	-3623	 2075	  103	
