H1-O1 	H1-O2 	H1-O3 	H1-O4 	H2-O1 	H2-O2 	H2-O3 	H2-O4 	H3-O1 	H3-O2 	H3-O3 	H3-O4 	H4-O1 	H4-O2 	H4-O3 	H4-O4 	H5-O1 	H5-O2 	H5-O3 	H5-O4 	H6-O1 	H6-O2 	H6-O3 	H6-O4 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I1-H5 	I1-H6 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I2-H5 	I2-H6 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I3-H5 	I3-H6 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I4-H5 	I4-H6 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I5-H5 	I5-H6 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I6-H5 	I6-H6 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	I7-H5 	I7-H6 	
-5451	 7570	 7604	 3894	 3702	-5928	 2212	-5069	 4668	-6524	-3047	 8357	-4533	 3808	-9751	-6034	-7899	 -767	 2793	  719	 6936	 9452	 7416	 6171	 2852	 1946	-3597	-6931	 2265	-5972	-7634	  515	 -372	-2743	 2640	-3194	 5388	-5316	 1784	 2446	-1780	-1947	-2120	   91	 7994	 4220	  -65	-1244	-1405	 4209	-5757	 1112	-1162	 6303	-2333	 2315	-1524	 4914	-5815	 1184	 1585	 -225	-2297	-2591	 -938	 1358	
 -606	  609	 1089	  657	  564	 -966	   52	 -569	  346	 -591	 -300	  472	 -310	  287	 -905	 -506	 -886	 -146	  239	  134	  536	 1000	  435	  221	  262	   98	 -375	 -366	   86	 -254	 -569	  119	 -194	 -394	  178	  -12	  355	 -384	  177	  399	 -193	  -91	 -232	   62	  380	   60	  -48	 -111	    2	  340	 -445	   54	  -99	  361	 -106	  286	 -210	  389	 -438	   93	  163	 -297	  190	 -215	  133	  -47	
 -378	  340	  642	  371	  311	 -563	   30	 -335	  289	 -274	 -168	  266	 -168	  128	 -526	 -269	 -501	 -101	  144	   87	  223	  636	  219	  102	  135	   23	 -214	 -181	   34	 -130	 -296	   45	 -153	 -199	  105	   -8	  173	 -201	  120	  215	  -85	  -61	 -117	   49	  222	   24	  -28	  -67	   -9	  206	 -270	   36	  -56	  197	  -36	  160	 -166	  243	 -230	   65	   84	 -169	  172	 -150	   85	  -17	
 -266	  235	  445	  257	  209	 -380	   29	 -235	  237	 -180	 -117	  183	 -128	   91	 -369	 -186	 -347	  -76	  104	   62	  135	  456	  149	   69	   88	    3	 -144	 -117	   18	  -88	 -201	   19	 -113	 -130	   75	  -11	  118	 -133	   92	  149	  -48	  -44	  -74	   33	  162	   20	  -22	  -49	  -16	  144	 -189	   28	  -40	  133	  -20	  110	 -129	  176	 -153	   49	   54	 -109	  128	 -121	   59	   -2	
 -202	  178	  336	  198	  155	 -281	   29	 -179	  195	 -136	  -90	  139	 -105	   73	 -284	 -143	 -264	  -59	   80	   46	   97	  350	  115	   53	   65	   -3	 -107	  -85	   11	  -67	 -151	    8	  -88	  -96	   58	  -12	   92	  -97	   77	  112	  -33	  -36	  -54	   23	  126	   16	  -17	  -38	  -16	  109	 -143	   22	  -32	   98	  -13	   83	 -104	  136	 -113	   39	   39	  -77	   96	  -99	   44	    5	
 -162	  144	  267	  160	  124	 -220	   28	 -144	  163	 -110	  -73	  112	  -88	   62	 -231	 -117	 -212	  -47	   66	   37	   74	  283	   94	   45	   51	   -4	  -83	  -67	    7	  -54	 -121	    4	  -69	  -76	   47	  -13	   76	  -75	   65	   89	  -24	  -30	  -42	   17	  103	   16	  -15	  -30	  -17	   87	 -114	   19	  -26	   77	  -10	   68	  -88	  109	  -90	   32	   30	  -59	   74	  -84	   34	    7	
 -134	  121	  221	  135	  101	 -181	   27	 -120	  139	  -93	  -61	   93	  -77	   54	 -193	  -99	 -177	  -39	   57	   29	   62	  235	   80	   38	   41	   -4	  -69	  -55	    5	  -46	 -102	    1	  -57	  -62	   39	  -12	   65	  -62	   57	   74	  -19	  -26	  -34	   12	   86	   13	  -13	  -26	  -15	   71	  -95	   15	  -23	   64	   -8	   56	  -74	   92	  -74	   26	   24	  -48	   61	  -72	   29	    9	
 -114	  103	  188	  116	   87	 -152	   25	 -102	  121	  -81	  -52	   80	  -66	   47	 -167	  -86	 -152	  -33	   49	   25	   52	  202	   70	   33	   35	   -5	  -58	  -46	    3	  -40	  -87	    0	  -49	  -53	   34	  -12	   57	  -51	   50	   63	  -15	  -23	  -29	    9	   75	   13	  -12	  -22	  -15	   61	  -80	   13	  -21	   53	   -6	   48	  -66	   78	  -62	   23	   19	  -39	   49	  -64	   25	   10	
  -99	   90	  163	  102	   75	 -131	   24	  -90	  106	  -71	  -46	   70	  -60	   42	 -147	  -75	 -133	  -28	   43	   21	   45	  176	   62	   30	   30	   -3	  -51	  -41	    3	  -35	  -76	    0	  -42	  -46	   29	  -11	   50	  -44	   45	   55	  -14	  -21	  -26	    7	   66	   11	  -10	  -19	  -14	   52	  -69	   12	  -18	   47	   -6	   42	  -58	   69	  -55	   21	   17	  -33	   43	  -56	   21	   10	
  -87	   80	  144	   92	   66	 -116	   23	  -79	   95	  -63	  -41	   62	  -53	   38	 -132	  -68	 -117	  -25	   39	   19	   40	  156	   56	   28	   26	   -4	  -44	  -35	    1	  -31	  -67	   -2	  -36	  -40	   26	  -11	   46	  -39	   41	   48	  -11	  -19	  -22	    6	   58	   11	  -10	  -17	  -13	   46	  -61	   10	  -16	   41	   -4	   37	  -52	   61	  -47	   18	   14	  -29	   36	  -50	   19	   10	
