H1-O1 	H1-O2 	H1-O3 	H2-O1 	H2-O2 	H2-O3 	H3-O1 	H3-O2 	H3-O3 	H4-O1 	H4-O2 	H4-O3 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	
12861	 9515	 4210	-4701	-5429	10218	-7726	 8513	-5161	 1971	-10859	-7683	 6991	 2552	 -105	-2944	-5263	 -613	 1180	 -747	 1770	 4125	-2086	  -11	-5476	 3038	 1856	  408	-2641	-5758	 5600	 1624	 1223	-3188	-4745	 6229	 1719	-3587	 2040	  105	
    9	    7	    2	   -4	   -3	    8	   -4	    6	   -3	   -1	   -8	   -6	    3	    1	    0	   -1	   -2	   -1	    1	    0	    0	    2	   -1	    1	   -3	    1	    0	    0	    0	   -3	    2	    2	    0	   -1	   -2	    1	    1	   -2	    2	    0	
   10	    7	    1	   -4	   -4	    8	   -4	    6	   -4	    0	   -7	   -6	    3	    1	    0	   -2	   -1	   -1	    0	    0	    0	    2	    0	    0	   -3	    1	    0	    1	   -1	   -2	    1	    1	    1	   -2	   -2	    2	    1	   -1	    1	   -1	
    9	    7	    2	   -3	   -4	    8	   -4	    6	   -3	    0	   -8	   -5	    3	    1	    0	   -1	   -2	    0	    1	    0	    0	    1	   -1	    0	   -3	    2	    0	    0	   -1	   -3	    2	    1	    1	   -1	   -2	    2	    1	   -2	    2	    0	
    9	    7	    2	   -4	   -3	    8	   -4	    6	   -3	    0	   -8	   -6	    2	    1	    0	   -1	   -1	   -1	    0	    0	    0	    2	    0	    0	   -3	    1	    0	    1	    0	   -3	    2	    1	    1	   -1	   -1	    1	    1	   -1	    1	    0	
    9	    6	    2	   -3	   -4	    7	   -4	    6	   -4	   -1	   -8	   -5	    3	    1	    0	   -2	   -2	   -1	    1	    0	    0	    2	   -1	    0	   -3	    2	    0	    0	   -1	   -2	    1	    1	    1	   -2	   -2	    2	    1	   -1	    1	    0	
    9	    7	    2	   -3	   -3	    8	   -4	    6	   -3	    0	   -7	   -5	    3	    2	   -1	   -1	   -1	   -1	    0	    0	    0	    2	    0	    0	   -2	    1	    0	    0	   -1	   -3	    2	    1	    1	   -1	   -2	    2	    1	   -2	    2	    0	
    9	    6	    2	   -4	   -3	    8	   -4	    5	   -3	    0	   -8	   -6	    3	    1	    0	   -1	   -1	    0	    0	    0	    0	    2	   -1	    1	   -3	    1	    0	    1	    0	   -2	    1	    1	    0	   -2	   -2	    2	    1	   -1	    1	    0	
    9	    7	    2	   -3	   -4	    7	   -4	    6	   -3	   -1	   -7	   -5	    2	    1	    0	   -2	   -2	   -1	    1	    0	    1	    2	    0	    0	   -3	    2	    0	    0	   -1	   -3	    2	    1	    1	   -1	   -2	    1	    1	   -2	    1	    0	
    8	    6	    1	   -3	   -3	    8	   -4	    6	   -3	    0	   -7	   -5	    3	    1	    0	   -1	   -1	   -1	    0	    0	    0	    2	   -1	    0	   -2	    1	    0	    0	   -1	   -3	    1	    1	    1	   -1	   -2	    2	    1	   -1	    2	    0	
    9	    7	    2	   -4	   -3	    7	   -3	    5	   -4	    0	   -8	   -5	    3	    1	    0	   -1	   -2	    0	    1	    0	    0	    1	    0	    0	   -3	    1	    0	    1	   -1	   -2	    2	    1	    1	   -2	   -1	    1	    1	   -1	    1	    0	
    9	    6	    2	   -3	   -4	    8	   -4	    6	   -3	    0	   -7	   -6	    2	    1	    0	   -1	   -1	   -1	    0	    0	    0	    2	   -1	    0	   -3	    2	    0	    0	    0	   -3	    1	    1	    1	   -1	   -2	    2	    1	   -2	    1	    0	
